submission_id,id,sha,path,size,blob,created_at,updated_at,comments_count
520772,28603572,e38e8f48d49019d4bd4dcf9879c09fad9ecf01db,app/src/main/res/values/array.xml,583,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/e3/8e/8f48d49019d4bd4dcf9879c09fad9ecf01db,2017-05-28T10:08:27.426Z,2017-05-28T10:08:27.426Z,0
520772,28603571,3f7bed6826b56f2acf97e4517c4ce79e3654ff9a,app/src/main/res/menu/main.xml,496,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/3f/7b/ed6826b56f2acf97e4517c4ce79e3654ff9a,2017-05-28T10:08:27.406Z,2017-05-28T10:08:27.406Z,0
520772,28603570,33b8f919a871f37a66a001f300db55bc30fa88d3,app/src/main/res/layout/p_activity.xml,413,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/33/b8/f919a871f37a66a001f300db55bc30fa88d3,2017-05-28T10:08:27.369Z,2017-05-28T10:08:27.369Z,0
520772,28603568,cc4f25edd4ef61074aa48bd50b70944803c8ca9a,app/src/main/res/layout/activity_main.xml,1500,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/cc/4f/25edd4ef61074aa48bd50b70944803c8ca9a,2017-05-28T10:08:27.311Z,2017-05-28T10:08:27.311Z,1
520772,28603567,d67587125d9aa6772d6d98c39ac035ec6562d346,app/src/main/java/com/example/news_app/newsapp/P_Activity.java,2240,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/d6/75/87125d9aa6772d6d98c39ac035ec6562d346,2017-05-28T10:08:27.290Z,2017-05-28T10:08:27.290Z,1
520772,28603565,fd518e2c8d445e8fb51e768cb9439d3f96c98a7a,app/src/main/java/com/example/news_app/newsapp/News.java,543,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/fd/51/8e2c8d445e8fb51e768cb9439d3f96c98a7a,2017-05-28T10:08:27.247Z,2017-05-28T10:08:27.247Z,0
520772,28603564,a44e5285dbfca631a0c4a628f3d7f185927c50c6,app/src/main/java/com/example/news_app/newsapp/MainActivity.java,5048,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/a4/4e/5285dbfca631a0c4a628f3d7f185927c50c6,2017-05-28T10:08:27.210Z,2017-05-28T10:08:27.210Z,0
520772,28603563,10ba709c19e5f3fd116c86a6dd6eb87d30b6baa2,app/src/main/java/com/example/news_app/newsapp/Fetcher.java,4197,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/10/ba/709c19e5f3fd116c86a6dd6eb87d30b6baa2,2017-05-28T10:08:27.168Z,2017-05-28T10:08:27.168Z,0
520772,28603562,33b21b887472d4b616756629f2dc15b673f59b2f,app/src/main/java/com/example/news_app/newsapp/Adapter.java,1214,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/33/b2/1b887472d4b616756629f2dc15b673f59b2f,2017-05-28T10:08:27.145Z,2017-05-28T10:08:27.145Z,1
520772,28603561,933a31a30c149416d19db9f3a120681556bce6b5,app/src/main/AndroidManifest.xml,1123,https://udacity-reviews-uploads.s3-us-west-2.amazonaws.com/_git_blobs/93/3a/31a30c149416d19db9f3a120681556bce6b5,2017-05-28T10:08:27.123Z,2017-05-28T10:08:27.123Z,0
